TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
CDP,"Oakville, CA",0653196,CA,-122.40677286747912,38.43837263056449,0.0,1.0,59220.79891826326,428151.91835337155
CDP,"Olowalu, HI",1557650,HI,-156.61672197870308,20.822264067283935,0.0,1.0,84961.00203019808,445862.15098134155
CDP,"East Honolulu, HI",1506290,HI,-157.7211818196242,21.297529718482753,144.0,738.0,51620025.39203046,270893880.7809929
CDP,"Rutherford, CA",0663400,CA,-122.42313632988309,38.456785285969595,0.0,3.0,137053.84892512354,990865.8681892315
CDP,"Launiupoko, HI",1544075,HI,-156.64221467565733,20.854284642211702,2.0,9.0,626846.4174179249,3289592.699313557
CDP,"Mahinahina, HI",1547050,HI,-156.65648084993643,20.95394529558993,2.0,12.0,865151.6670148219,4540181.659383173
CDP,"Ahuimanu, HI",1500400,HI,-157.84032962033456,21.437890456641604,25.0,130.0,9068032.80205236,47587628.60230124
CDP,"Clearlake Oaks, CA",0613966,CA,-122.65919081201771,39.02190323389072,6.0,39.0,1990664.8550667635,14392020.912649762
CDP,"Heeia, HI",1513900,HI,-157.82083103342222,21.420808457709683,14.0,72.0,5049999.0718925055,26501611.266866572
CDP,"Hidden Valley Lake, CA",0633549,CA,-122.55051862345476,38.80035541960055,13.0,93.0,4794346.67813997,34661956.01869367
CDP,"Ualapu'e, HI",1570700,HI,-156.8357376695768,21.07066480040331,1.0,6.0,445527.20576811186,2338057.620999718
CDP,"Kahaluu, HI",1521200,HI,-157.84552508980707,21.457613466478563,14.0,72.0,5013735.229562542,26311304.2512038
CDP,"Lower Lake, CA",0644350,CA,-122.6085168485028,38.91182847689245,3.0,21.0,1103198.8827059327,7975858.593325665
CDP,"Wailea, HI",1576925,HI,-156.4287100412117,20.687389550482916,17.0,90.0,6272608.613302673,32917676.366354167
CDP,"Middletown, CA",0647332,CA,-122.6221028715566,38.751877999390736,3.0,22.0,1118427.0881420574,8085954.800902245
CDP,"Fern Forest, HI",1507675,HI,-155.13237641317758,19.46471946417501,3.0,14.0,969798.7548812855,5089353.333152874
CDP,"Hawaiian Acres, HI",1512450,HI,-155.04970756669198,19.532460767529017,8.0,40.0,2815110.2745859534,14773261.758735428
CDP,"Hartley, CA",0632340,CA,-121.95229575246866,38.420227750831266,6.0,40.0,2079496.0534441585,15034248.790179817
CDP,"Kaneohe, HI",1528250,HI,-157.79208991827315,21.404836829237365,101.0,520.0,36404753.26015902,191046494.3522002
CDP,"Hawaiian Beaches, HI",1512500,HI,-154.92240752563637,19.542110468984415,12.0,64.0,4448019.289215126,23342514.806864627
CDP,"Allendale, CA",0600996,CA,-121.98141094272434,38.4426588695784,4.0,25.0,1299473.5305493195,9394876.379868267
CDP,"Hawaiian Paradise Park, HI",1512600,HI,-154.9693742149636,19.582700714526712,33.0,170.0,11909045.821159717,62496823.94365293
CDP,"Kaneohe Station, HI",1528400,HI,-157.75097338844273,21.445604322111876,28.0,145.0,10156984.181732096,53302276.41548891
CDP,"Maunawili, HI",1550750,HI,-157.77133646906944,21.366775225426792,6.0,30.0,2072219.5617121484,10874686.609301014
CDP,"Hilo, HI",1514650,HI,-155.08679246602154,19.688261176012407,128.0,655.0,45862363.33981327,240678564.03705007
CDP,"Waimanalo, HI",1578050,HI,-157.73023856056952,21.34206960810625,16.0,83.0,5805323.102136583,30465434.53595679
city,"Sebastopol, CA",0670770,CA,-122.827716757325,38.39998656745507,18.0,122.0,6268098.559791607,45316822.329716146
CDP,"Keaau, HI",1532900,HI,-155.03720658351025,19.615567161673635,7.0,34.0,2362330.300351849,12397142.734603155
CDP,"Waimanalo Beach, HI",1578200,HI,-157.69738108784173,21.32880904002972,13.0,67.0,4663530.123633189,24473482.21423193
CDP,"Kurtistown, HI",1542800,HI,-155.07212340385337,19.583323680887837,4.0,19.0,1358339.9227023132,7128357.072396815
city,"Cotati, CA",0616560,CA,-122.70914365450743,38.32789188602571,17.0,119.0,6151348.9847813165,44472751.40496235
CDP,"Leilani Estates, HI",1544562,HI,-154.91574404104992,19.4658467412992,5.0,23.0,1636017.3439717412,8585565.078043152
CDP,"Mountain View, HI",1553300,HI,-155.15978125239909,19.535685319376846,11.0,59.0,4102994.732190053,21531879.486416005
city,"American Canyon, CA",0601640,CA,-122.2584959625668,38.17716609300438,47.0,326.0,16779790.367783338,121313787.8374396
CDP,"Nanawale Estates, HI",1553975,HI,-154.9116914565749,19.504244441736137,4.0,21.0,1493034.1942136027,7835211.702001381
CDP,"Eleele, HI",1507000,HI,-159.58016225632835,21.908789367975945,7.0,36.0,2486663.474054578,13049623.931161217
CDP,"Hanapepe, HI",1511800,HI,-159.58743389213345,21.914038931111403,8.0,39.0,2747763.138830309,14419834.443933144
CDP,"Orchidlands Estates, HI",1558775,HI,-155.01422538447386,19.556976660565677,8.0,42.0,2947732.326535531,15469241.701730695
