TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
CDP,"Oakville, CA",0653196,CA,-122.40677286747912,38.43837263056449,0.0,1.0,29249.292959803384,378046.90392430656
CDP,"Olowalu, HI",1557650,HI,-156.61672197870308,20.822264067283935,0.0,1.0,0.0,361406.4870164297
CDP,"East Honolulu, HI",1506290,HI,-157.7211818196242,21.297529718482753,0.0,594.0,0.0,219580885.2395798
CDP,"Rutherford, CA",0663400,CA,-122.42313632988309,38.456785285969595,0.0,2.0,67691.22084983069,874908.5490819667
CDP,"Launiupoko, HI",1544075,HI,-156.64221467565733,20.854284642211702,0.0,7.0,0.0,2666474.690791951
CDP,"Mahinahina, HI",1547050,HI,-156.65648084993643,20.95394529558993,0.0,10.0,0.0,3680175.8129112055
CDP,"Ahuimanu, HI",1500400,HI,-157.84032962033456,21.437890456641604,0.0,104.0,0.0,38573531.39472918
CDP,"Clearlake Oaks, CA",0613966,CA,-122.65919081201771,39.02190323389072,3.0,34.0,983194.0904916766,12707776.641912764
CDP,"Heeia, HI",1513900,HI,-157.82083103342222,21.420808457709683,0.0,58.0,0.0,21481648.996561933
CDP,"Hidden Valley Lake, CA",0633549,CA,-122.55051862345476,38.80035541960055,7.0,82.0,2367939.1886172253,30605597.20770065
CDP,"Ualapu'e, HI",1570700,HI,-156.8357376695768,21.07066480040331,0.0,5.0,0.0,1895180.3587446923
CDP,"Kahaluu, HI",1521200,HI,-157.84552508980707,21.457613466478563,0.0,58.0,0.0,21327390.130152483
CDP,"Lower Lake, CA",0644350,CA,-122.6085168485028,38.91182847689245,2.0,19.0,544872.5431369088,7042473.753104226
CDP,"Wailea, HI",1576925,HI,-156.4287100412117,20.687389550482916,0.0,72.0,0.0,26682376.49265202
CDP,"Middletown, CA",0647332,CA,-122.6221028715566,38.751877999390736,2.0,19.0,552393.789898001,7139685.814113332
CDP,"Fern Forest, HI",1507675,HI,-155.13237641317758,19.46471946417501,0.0,11.0,0.0,4125322.8274070513
CDP,"Hawaiian Acres, HI",1512450,HI,-155.04970756669198,19.532460767529017,0.0,32.0,0.0,11974895.42955658
CDP,"Hartley, CA",0632340,CA,-121.95229575246866,38.420227750831266,3.0,36.0,1027068.0299313817,13274846.997799221
CDP,"Kaneohe, HI",1528250,HI,-157.79208991827315,21.404836829237365,0.0,419.0,0.0,154858272.290357
CDP,"Hawaiian Beaches, HI",1512500,HI,-154.92240752563637,19.542110468984415,0.0,51.0,0.0,18920951.814165033
CDP,"Allendale, CA",0600996,CA,-121.98141094272434,38.4426588695784,2.0,22.0,641813.0569465428,8295429.206110499
CDP,"Hawaiian Paradise Park, HI",1512600,HI,-154.9693742149636,19.582700714526712,0.0,137.0,0.0,50658611.72886394
CDP,"Kaneohe Station, HI",1528400,HI,-157.75097338844273,21.445604322111876,0.0,117.0,0.0,43205704.78319586
CDP,"Maunawili, HI",1550750,HI,-157.77133646906944,21.366775225426792,0.0,24.0,0.0,8814792.366254384
CDP,"Hilo, HI",1514650,HI,-155.08679246602154,19.688261176012407,0.0,528.0,0.0,195088984.64994204
CDP,"Waimanalo, HI",1578050,HI,-157.73023856056952,21.34206960810625,0.0,67.0,0.0,24694640.814061657
city,"Sebastopol, CA",0670770,CA,-122.827716757325,38.39998656745507,9.0,107.0,3095828.736274047,40013564.44535982
CDP,"Keaau, HI",1532900,HI,-155.03720658351025,19.615567161673635,0.0,27.0,0.0,10048863.297529997
CDP,"Waimanalo Beach, HI",1578200,HI,-157.69738108784173,21.32880904002972,0.0,54.0,0.0,19837690.22025549
CDP,"Kurtistown, HI",1542800,HI,-155.07212340385337,19.583323680887837,0.0,16.0,0.0,5778096.396079749
city,"Cotati, CA",0616560,CA,-122.70914365450743,38.32789188602571,8.0,105.0,3038165.844439006,39268271.97762333
CDP,"Leilani Estates, HI",1544562,HI,-154.91574404104992,19.4658467412992,0.0,19.0,0.0,6959278.573157837
CDP,"Mountain View, HI",1553300,HI,-155.15978125239909,19.535685319376846,0.0,47.0,0.0,17453288.885183677
city,"American Canyon, CA",0601640,CA,-122.2584959625668,38.17716609300438,23.0,287.0,8287578.236639148,107116889.89192423
CDP,"Nanawale Estates, HI",1553975,HI,-154.9116914565749,19.504244441736137,0.0,17.0,0.0,6351057.899886284
CDP,"Eleele, HI",1507000,HI,-159.58016225632835,21.908789367975945,0.0,29.0,0.0,10577750.83950526
CDP,"Hanapepe, HI",1511800,HI,-159.58743389213345,21.914038931111403,0.0,32.0,0.0,11688414.677653313
CDP,"Orchidlands Estates, HI",1558775,HI,-155.01422538447386,19.556976660565677,0.0,34.0,0.0,12539042.140996862
city,"Vallejo, CA",0681666,CA,-122.23551847378573,38.11353292767785,136.0,1692.0,48845901.395829365,631332928.8835359
CDP,"Kaumakani, HI",1530650,HI,-159.62377771589067,21.91885212773859,0.0,9.0,0.0,3336398.9106272846
CDP,"Pahoa, HI",1559900,HI,-154.94545590389978,19.496108339133652,0.0,12.0,0.0,4429433.164042828
CDP,"Kekaha, HI",1535600,HI,-159.7142028817312,21.96869854769992,0.0,42.0,0.0,15677108.223383421
CDP,"Papaikou, HI",1561550,HI,-155.09623151062254,19.791962679790355,0.0,16.0,0.0,5857429.527376038
CDP,"Pakala Village, HI",1560350,HI,-159.64332104231818,21.944477579510846,0.0,4.0,0.0,1308996.666388776
city,"Vacaville, CA",0681554,CA,-121.96903046027995,38.35972350590763,110.0,1366.0,39418854.27488474,509488411.7487319
CDP,"Paukaa, HI",1561700,HI,-155.09496022262675,19.76245885079008,0.0,5.0,0.0,1842291.6045471663
CDP,"Volcano, HI",1572350,HI,-155.25207340062286,19.477963825670184,0.0,31.0,0.0,11410748.718116298
city,"Suisun City, CA",0675630,CA,-122.00852486838924,38.24711826314035,33.0,412.0,11882316.341398984,153578854.3842215
CDP,"Wainaku, HI",1578950,HI,-155.09848949140437,19.74488973949902,0.0,15.0,0.0,5399060.3243308095
city,"Fairfield, CA",0623182,CA,-122.0393032424965,38.25584463871004,124.0,1537.0,44376609.43157141,573567361.9639019
CDP,"Ainaloa, HI",1501085,HI,-154.9943880614301,19.521455126922696,0.0,40.0,0.0,14729518.044011075
CDP,"Kaunakakai, HI",1531100,HI,-156.99805170899592,21.090635109247792,0.0,41.0,0.0,15306886.944000738
CDP,"Eden Roc, HI",1506325,HI,-155.09578536482988,19.49174994345249,0.0,11.0,0.0,4173804.1854214505
CDP,"Bodega Bay, CA",0607260,CA,-123.02735493586866,38.32551284605817,1.0,16.0,451692.6527078208,5838124.330602505
CDP,"Fern Acres, HI",1507542,HI,-155.07854558238722,19.508224691512922,0.0,18.0,0.0,6663983.028888315
CDP,"Kualapuu, HI",1539500,HI,-157.05920303019593,21.156396315461787,0.0,24.0,0.0,9052791.760143252
CDP,"Maunaloa, HI",1550150,HI,-157.21221289552537,21.133634262479475,0.0,5.0,0.0,1679217.9457714597
CDP,"Occidental, CA",0653266,CA,-122.93495676302508,38.40038005022065,1.0,16.0,467988.68735685415,6048750.462788905
CDP,"Hana, HI",1511350,HI,-156.01104710606756,20.771958311028566,0.0,15.0,0.0,5518060.021275244
CDP,"Bloomfield, CA",0607036,CA,-122.85023774920452,38.3182852787652,0.0,5.0,140396.60620705626,1814625.1388366714
CDP,"Anahola, HI",1502200,HI,-159.3155905311788,22.145211311757055,0.0,27.0,0.0,9863752.657838656
