TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
CDP,"Oakville, CA",0653196,CA,-122.40677286747912,38.43837263056449,0.0,1.0,62322.33544922866,448959.9975201557
CDP,"Olowalu, HI",1557650,HI,-156.61672197870308,20.822264067283935,0.0,1.0,88929.94835345009,468130.9766383503
CDP,"East Honolulu, HI",1506290,HI,-157.7211818196242,21.297529718482753,118.0,604.0,54031450.69411264,284423821.7938933
CDP,"Rutherford, CA",0663400,CA,-122.42313632988309,38.456785285969595,0.0,2.0,144231.69061107206,1039021.708546646
CDP,"Launiupoko, HI",1544075,HI,-156.64221467565733,20.854284642211702,1.0,7.0,656129.4969980159,3453893.181295146
CDP,"Mahinahina, HI",1547050,HI,-156.65648084993643,20.95394529558993,2.0,10.0,905567.1570137906,4766943.481622226
CDP,"Ahuimanu, HI",1500400,HI,-157.84032962033456,21.437890456641604,21.0,106.0,9491645.219382867,49964418.38462002
CDP,"Clearlake Oaks, CA",0613966,CA,-122.65919081201771,39.02190323389072,5.0,32.0,2094920.7901719294,15091469.63092752
CDP,"Heeia, HI",1513900,HI,-157.82083103342222,21.420808457709683,12.0,59.0,5285909.369203851,27825248.5382356
CDP,"Hidden Valley Lake, CA",0633549,CA,-122.55051862345476,38.80035541960055,11.0,76.0,5045438.214153984,36346518.65638175
CDP,"Ualapu'e, HI",1570700,HI,-156.8357376695768,21.07066480040331,1.0,5.0,466339.97307297,2454833.1701767147
CDP,"Kahaluu, HI",1521200,HI,-157.84552508980707,21.457613466478563,11.0,59.0,5247951.4644188415,27625436.536011916
CDP,"Lower Lake, CA",0644350,CA,-122.6085168485028,38.91182847689245,3.0,17.0,1160976.0775113455,8363483.382375471
CDP,"Wailea, HI",1576925,HI,-156.4287100412117,20.687389550482916,14.0,73.0,6565633.016241304,34561767.47034845
CDP,"Middletown, CA",0647332,CA,-122.6221028715566,38.751877999390736,3.0,18.0,1177001.8209125756,8478930.238880655
CDP,"Fern Forest, HI",1507675,HI,-155.13237641317758,19.46471946417501,2.0,11.0,1015102.8251076742,5343543.830896291
CDP,"Hawaiian Acres, HI",1512450,HI,-155.04970756669198,19.532460767529017,6.0,33.0,2946617.922881999,15511120.28690729
CDP,"Hartley, CA",0632340,CA,-121.95229575246866,38.420227750831266,5.0,33.0,2188404.2933457717,15764909.627207752
CDP,"Kaneohe, HI",1528250,HI,-157.79208991827315,21.404836829237365,83.0,426.0,38105398.35788808,200588414.57518387
CDP,"Hawaiian Beaches, HI",1512500,HI,-154.92240752563637,19.542110468984415,10.0,52.0,4655808.149772698,24508369.30132241
CDP,"Allendale, CA",0600996,CA,-121.98141094272434,38.4426588695784,3.0,21.0,1367530.1035716461,9851465.088442273
CDP,"Hawaiian Paradise Park, HI",1512600,HI,-154.9693742149636,19.582700714526712,27.0,139.0,12465375.931397015,65618261.530258514
CDP,"Kaneohe Station, HI",1528400,HI,-157.75097338844273,21.445604322111876,23.0,119.0,10631466.874498429,55964487.36567985
CDP,"Maunawili, HI",1550750,HI,-157.77133646906944,21.366775225426792,5.0,24.0,2169023.1305719535,11417828.69849635
CDP,"Hilo, HI",1514650,HI,-155.08679246602154,19.688261176012407,105.0,536.0,48004819.92581847,252699384.7551212
CDP,"Waimanalo, HI",1578050,HI,-157.73023856056952,21.34206960810625,13.0,68.0,6076518.300297327,31987047.09883752
city,"Sebastopol, CA",0670770,CA,-122.827716757325,38.39998656745507,14.0,99.0,6596374.047761931,47519208.880383335
CDP,"Keaau, HI",1532900,HI,-155.03720658351025,19.615567161673635,5.0,28.0,2472686.368852027,13016324.716285838
CDP,"Waimanalo Beach, HI",1578200,HI,-157.69738108784173,21.32880904002972,11.0,55.0,4881386.555352181,25695823.48596603
CDP,"Kurtistown, HI",1542800,HI,-155.07212340385337,19.583323680887837,3.0,16.0,1421794.6620899155,7484386.711864357
city,"Cotati, CA",0616560,CA,-122.70914365450743,38.32789188602571,14.0,97.0,6473510.015019165,46634116.3138436
CDP,"Leilani Estates, HI",1544562,HI,-154.91574404104992,19.4658467412992,4.0,19.0,1712443.7615865574,9014375.757462868
CDP,"Mountain View, HI",1553300,HI,-155.15978125239909,19.535685319376846,9.0,48.0,4294665.798532468,22607300.823022768
city,"American Canyon, CA",0601640,CA,-122.2584959625668,38.17716609300438,39.0,266.0,17658588.590000022,127209608.44021098
CDP,"Nanawale Estates, HI",1553975,HI,-154.9116914565749,19.504244441736137,3.0,17.0,1562781.1655770924,8226545.57726662
CDP,"Eleele, HI",1507000,HI,-159.58016225632835,21.908789367975945,6.0,29.0,2602827.7566863443,13701394.43819562
CDP,"Hanapepe, HI",1511800,HI,-159.58743389213345,21.914038931111403,6.0,32.0,2876124.6711384105,15140040.854206158
CDP,"Orchidlands Estates, HI",1558775,HI,-155.01422538447386,19.556976660565677,7.0,34.0,3085435.403238604,16241861.323611058
city,"Vallejo, CA",0681666,CA,-122.23551847378573,38.11353292767785,227.0,1565.0,104077409.88113402,749756782.1444098
CDP,"Kaumakani, HI",1530650,HI,-159.62377771589067,21.91885212773859,2.0,9.0,820975.2549214845,4321648.162380869
CDP,"Pahoa, HI",1559900,HI,-154.94545590389978,19.496108339133652,2.0,12.0,1089934.1231124066,5737458.920994415
CDP,"Kekaha, HI",1535600,HI,-159.7142028817312,21.96869854769992,8.0,43.0,3857607.6377222193,20306608.340275757
CDP,"Papaikou, HI",1561550,HI,-155.09623151062254,19.791962679790355,3.0,16.0,1441315.8702650631,7587147.170150824
CDP,"Pakala Village, HI",1560350,HI,-159.64332104231818,21.944477579510846,1.0,4.0,322099.9348899351,1695547.5617267077
city,"Vacaville, CA",0681554,CA,-121.96903046027995,38.35972350590763,183.0,1263.0,83990921.16584763,605056974.9436635
CDP,"Paukaa, HI",1561700,HI,-155.09496022262675,19.76245885079008,1.0,5.0,453325.8342895383,2386326.197985737
CDP,"Volcano, HI",1572350,HI,-155.25207340062286,19.477963825670184,6.0,31.0,2807800.442525394,14780379.250203524
city,"Suisun City, CA",0675630,CA,-122.00852486838924,38.24711826314035,55.0,381.0,25318003.61671022,182386792.13543808
CDP,"Wainaku, HI",1578950,HI,-155.09848949140437,19.74488973949902,3.0,15.0,1328526.6674753216,6993420.077829014
city,"Fairfield, CA",0623182,CA,-122.0393032424965,38.25584463871004,206.0,1422.0,94554557.02449188,681155694.5233299
CDP,"Ainaloa, HI",1501085,HI,-154.9943880614301,19.521455126922696,8.0,40.0,3624437.6511857347,19079191.755187396
CDP,"Kaunakakai, HI",1531100,HI,-156.99805170899592,21.090635109247792,8.0,42.0,3766508.6662381976,19827059.53493891
CDP,"Eden Roc, HI",1506325,HI,-155.09578536482988,19.49174994345249,2.0,11.0,1027032.45232582,5406341.888738021
CDP,"Bodega Bay, CA",0607260,CA,-123.02735493586866,38.32551284605817,2.0,14.0,962434.9231516597,6933225.104561261
CDP,"Fern Acres, HI",1507542,HI,-155.07854558238722,19.508224691512922,4.0,18.0,1639781.4867123968,8631878.49606324
CDP,"Kualapuu, HI",1539500,HI,-157.05920303019593,21.156396315461787,5.0,25.0,2227586.755097396,11726110.07335575
CDP,"Maunaloa, HI",1550150,HI,-157.21221289552537,21.133634262479475,1.0,5.0,413198.9063739571,2175096.367063554
CDP,"Occidental, CA",0653266,CA,-122.93495676302508,38.40038005022065,2.0,15.0,997157.3671876586,7183359.960322491
CDP,"Hana, HI",1511350,HI,-156.01104710606756,20.771958311028566,3.0,15.0,1357808.4797380427,7147560.765258714
CDP,"Bloomfield, CA",0607036,CA,-122.85023774920452,38.3182852787652,1.0,4.0,299147.21015629754,2155007.988096747
CDP,"Anahola, HI",1502200,HI,-159.3155905311788,22.145211311757055,5.0,27.0,2427136.883110016,12776550.313617414
CDP,"Halaula, HI",1509700,HI,-155.78208644645645,20.225481569965744,1.0,6.0,511889.458814981,2694607.572845138
CDP,"Hanalei, HI",1511500,HI,-159.49772791189477,22.20399143974917,1.0,5.0,492368.2506398335,2591847.1145586716
CDP,"Bodega, CA",0607246,CA,-122.97116459113516,38.34884179616099,0.0,3.0,196760.51620399335,1417430.8493136342
CDP,"Hawaiian Ocean View, HI",1512530,HI,-155.77464440726243,19.096790051499212,11.0,54.0,4861865.347177034,25593063.027679566
CDP,"Carmet, CA",0611376,CA,-123.07185698243826,38.37445273898673,0.0,1.0,41844.99665876782,301444.56976353313
CDP,"Hawi, HI",1513600,HI,-155.83055072813968,20.239119243414734,3.0,13.0,1178864.0714658569,6205589.897632766
CDP,"Sereno Mar, CA",0671000,CA,-123.07314366872484,38.38367437602856,0.0,2.0,112180.20380861161,808127.9955362803
CDP,"Holualoa, HI",1515700,HI,-155.92660717349582,19.62383700276397,21.0,105.0,9402715.271029418,49496287.40798168
CDP,"Hanamaulu, HI",1511650,HI,-159.35015031184037,21.995491236186275,9.0,48.0,4253454.359051601,22390362.077751342
CDP,"Salmon Creek, CA",0664252,CA,-123.05931387825737,38.34621498296485,0.0,1.0,76567.44069476664,551579.4255247627
CDP,"Honalo, HI",1516000,HI,-155.90197414765598,19.578741702488806,6.0,29.0,2625602.49955735,13821281.63952983
CDP,"Kalaheo, HI",1524950,HI,-159.5236210952645,21.915914874566294,11.0,57.0,5146007.377281959,27088798.587182585
CDP,"Valley Ford, CA",0681778,CA,-122.91473224007856,38.32456010863796,0.0,2.0,130876.9044433802,942815.994792327
CDP,"Bolinas, CA",0607316,CA,-122.70942346846263,37.917841401601,3.0,22.0,1461013.6067454892,10524905.084722508
CDP,"Kalihiwai, HI",1526750,HI,-159.44066065926896,22.21616837015466,1.0,5.0,470678.0193341139,2477668.827573708
CDP,"Dillon Beach, CA",0619262,CA,-122.95591778899714,38.243485017233986,1.0,4.0,255521.5753418375,1840735.9898326383
CDP,"Honaunau-Napoopoo, HI",1516160,HI,-155.85857412009605,19.453870499916725,6.0,32.0,2865279.5554855503,15082951.710713675
CDP,"Kapaa, HI",1528850,HI,-159.3522396664696,22.091031343707574,26.0,133.0,11879739.68614259,62535447.781664506
CDP,"Inverness, CA",0636616,CA,-122.84744682890145,38.0813185055492,3.0,18.0,1178782.4590682678,8491757.66738123
CDP,"Honokaa, HI",1516450,HI,-155.46570503203853,20.074634861617483,5.0,28.0,2479193.4382437426,13050578.202381326
CDP,"Point Reyes Station, CA",0657960,CA,-122.8092228691738,38.08464797519615,2.0,12.0,766564.7260255126,5522207.969497914
CDP,"Honomu, HI",1517450,HI,-155.1126350368667,19.86934146245686,1.0,6.0,555269.92142642,2922964.146815065
CDP,"Tomales, CA",0678890,CA,-122.90535562936411,38.2470301853217,0.0,3.0,184296.0491141476,1327638.8498096033
CDP,"Silverado Resort, CA",0671927,CA,-122.25553981417463,38.35363734741326,2.0,15.0,969557.4757744288,6984534.818563565
CDP,"Kahaluu-Keauhou, HI",1521230,HI,-155.9574816309981,19.57258591717994,8.0,43.0,3848931.5451999316,20260937.02548177
CDP,"Kilauea, HI",1536650,HI,-159.3966802690851,22.210419988004343,7.0,36.0,3214492.279507635,16921222.13117159
CDP,"Elmira, CA",0622146,CA,-121.90771857024752,38.352325215780155,0.0,3.0,169160.6247907635,1218605.7075547085
CDP,"Koloa, HI",1539200,HI,-159.46107500517851,21.90296010324515,6.0,28.0,2519320.366159324,13261808.033303509
CDP,"Diablo, CA",0619150,CA,-121.95645646764673,37.84080865161356,2.0,16.0,1049686.19278058,7561769.10108948
CDP,"Lawai, HI",1544450,HI,-159.5006704149714,21.92039413618734,6.0,30.0,2641870.1730366396,13906915.354768554
CDP,"Kalaoa, HI",1525400,HI,-156.01189554932486,19.736583578148068,23.0,119.0,10679185.383371012,56215679.59704677
CDP,"Castle Hill, CA",0611915,CA,-122.05733361422031,37.87296341272608,3.0,18.0,1214395.2221821127,8748306.237392748
town,"Tiburon, CA",0678666,CA,-122.4637112927885,37.88555299877711,18.0,123.0,8179361.368172339,58922792.81739529
CDP,"Lihue, HI",1545200,HI,-159.35457367734722,21.973524156214708,16.0,81.0,7231523.117326893,38067040.88078683
CDP,"Kapaau, HI",1529000,HI,-155.80493052731697,20.226627101210127,4.0,21.0,1889219.1467281717,9944928.796390321
CDP,"Camino Tassajara, CA",0610301,CA,-121.88497869548328,37.790965582346445,4.0,30.0,2026366.2211777777,14597613.633655347
city,"Belvedere, CA",0605164,CA,-122.4663274515165,37.87373770241242,4.0,28.0,1868779.744399014,13462386.211354384
CDP,"Omao, HI",1557800,HI,-159.48125427741053,21.923440943120365,3.0,16.0,1432639.7777427752,7541475.855356838
CDP,"Shell Ridge, CA",0671362,CA,-122.03439381655026,37.9059195408072,2.0,13.0,861828.8673550478,6208475.394278725
CDP,"Kealakekua, HI",1533950,HI,-155.90326304360403,19.528580806895388,5.0,25.0,2218910.662575108,11680438.758561764
city,"San Pablo, CA",0668294,CA,-122.34245554260143,37.96272543367914,58.0,397.0,26411315.44430526,190262833.2347917
CDP,"Kukuihaele, HI",1541000,HI,-155.56567476513882,20.119223430256948,1.0,4.0,368733.9321972321,1941030.8787443794
CDP,"Laupahoehoe, HI",1544150,HI,-155.23807836427702,19.974611616990067,1.0,7.0,633354.7541270105,3334005.9799609343
CDP,"Norris Canyon, CA",0651622,CA,-121.98878542189262,37.746034554177996,2.0,13.0,897441.6304688929,6465023.964290243
CDP,"Naalehu, HI",1553600,HI,-155.57509681831795,19.069826747814997,2.0,11.0,946778.5964946578,4983882.226893657
CDP,"Paauilo, HI",1559300,HI,-155.37013857151362,20.039162909554253,1.0,7.0,655044.9854327299,3448184.266945897
CDP,"Pahala, HI",1559750,HI,-155.4792906016511,19.199432633355435,3.0,17.0,1478189.2634847863,7781250.258025261
CDP,"Poipu, HI",1564550,HI,-159.46033653324398,21.883264187228885,2.0,12.0,1081258.0305901188,5691787.60620043
CDP,"North Gate, CA",0651890,CA,-121.99818427716988,37.90615297290679,1.0,9.0,609868.5683245948,4393394.261447238
CDP,"Pepeekeo, HI",1563650,HI,-155.106158718193,19.83155090633312,4.0,22.0,1929346.0746437528,10156158.627312502
city,"Richmond, CA",0660620,CA,-122.33680375860789,37.94797103947634,205.0,1410.0,93731902.19656207,675229422.5560639
CDP,"Alamo, CA",0600618,CA,-122.01299328449186,37.85459866557328,29.0,198.0,13174051.394889094,94903729.76151063
CDP,"Puako, HI",1565150,HI,-155.8596291647079,19.9386446073089,2.0,9.0,848088.0440536338,4464371.021112072
CDP,"Blackhawk, CA",0606928,CA,-121.90714247352187,37.81597993623828,19.0,128.0,8482960.173717868,61109869.37674348
city,"Pinole, CA",0657288,CA,-122.28198027273513,37.99286209440316,36.0,249.0,16555483.252548672,119263016.48410422
CDP,"Waikoloa Village, HI",1576600,HI,-155.81851076458483,19.928507155204507,16.0,79.0,7103550.752623148,37393388.98757554
city,"Emeryville, CA",0622594,CA,-122.29097812655897,37.83807127607591,21.0,142.0,9432040.310701834,67946888.76755042
CDP,"Discovery Harbour, HI",1505900,HI,-155.6254119115547,19.04150437191335,2.0,12.0,1033539.5217175359,5440595.37483351
CDP,"Princeville, HI",1565075,HI,-159.4805112620713,22.217477733880955,5.0,27.0,2394601.5361514366,12605282.88313997
CDP,"Waiohinu, HI",1579550,HI,-155.61425239045477,19.071523827732744,1.0,3.0,233169.986536485,1227416.5850883573
city,"Berkeley, CA",0606000,CA,-122.27490797540558,37.872567876533864,222.0,1530.0,101706490.17682979,732677061.0958929
city,"South San Francisco, CA",0673262,CA,-122.42107894429202,37.65329781206366,125.0,859.0,57104175.33397253,411369218.29921806
CDP,"Puhi, HI",1565750,HI,-159.39179229907418,21.962078826251723,7.0,36.0,3204731.6754200617,16869841.902028356
CDP,"Captain Cook, HI",1503850,HI,-155.893675283058,19.499530871902788,8.0,42.0,3780607.316586915,19901275.421479136
city,"Albany, CA",0600674,CA,-122.30024922399775,37.889838589948695,37.0,252.0,16741559.93981851,120603482.76241441
CDP,"Wailua, HI",1577000,HI,-159.34084752903317,22.055051119793543,6.0,28.0,2523658.412420468,13284643.690700503
city,"San Mateo, CA",0668252,CA,-122.31239034615743,37.55182268968811,190.0,1311.0,87170250.59283613,627960348.5314418
city,"Alameda, CA",0600562,CA,-122.26648984196594,37.765084903114,145.0,1000.0,66476564.266458675,478886388.2119992
CDP,"Wailua Homesteads, HI",1577225,HI,-159.3771406657582,22.065009407026615,12.0,63.0,5618854.419746646,29577885.24345479
city,"Lincoln City, OR",4142600,OR,-124.00699626444302,44.97280353643391,23.0,123.0,10524355.308465231,59480788.6440607
CDP,"Haena, HI",1508950,HI,-159.56113375885596,22.218381036103253,1.0,5.0,471762.5308993999,2483377.741922956
city,"San Bruno, CA",0665028,CA,-122.43138644088343,37.62541415205451,81.0,558.0,37104047.56923721,267291541.38074985
